央视,#genre#
爱科幻,http://101.71.255.229:6610/zjhs/2/10113/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱历史,http://101.71.255.229:6610/zjhs/2/10120/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱时尚,http://101.71.255.229:6610/zjhs/2/10118/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱世界,http://101.71.255.229:6610/zjhs/2/10121/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱玩具,http://101.71.255.229:6610/zjhs/2/10117/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱院线,http://101.71.255.229:6610/zjhs/2/10116/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
4k,#genre#
美丽中4K,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/9891cea600df4e8a83851b1b1ce23194/8000.m3u8
纯享4K,http://111.12.102.68:6610/PLTV/77777777/224/3221225726/index.m3u8?
爱上4K频道,http://111.20.105.60:6060/yinhe/2/ch00000090990000001709/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
咪咕视频 30M2160HDR,http://39.134.66.66/PLTV/88888888/224/3221225655/index.m3u8
咪咕视频 20M2160HDR,http://39.134.66.66/PLTV/88888888/224/3221225651/index.m3u8
央视蓝光,#genre#
CCTV1BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225674/index.m3u8?
CCTV1BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV1BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225772/index.m3u8?
CCTV1BD,http://39.134.66.66/PLTV/88888888/224/3221225759/index.m3u8
CCTV1BD,http://39.134.66.66/PLTV/88888888/224/3221225776/index.m3u8
CCTV1BD,http://39.134.66.66/PLTV/88888888/224/3221225780/index.m3u8
CCTV1BD,http://39.134.66.66/PLTV/88888888/224/3221225782/index.m3u8
CCTV2BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225676/index.m3u8?
CCTV2BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV3BD,http://111.63.117.13:6060/030000001000/CCTV3/CCTV3.m3u8
CCTV3BD,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV4BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225775/index.m3u8?
CCTV4BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225761/index.m3u8?
CCTV4BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225753/index.m3u8?
CCTV5BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV5+BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225621/index.m3u8?
CCTV5+BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225712/index.m3u8?
CCTV5+BD,http://39.134.66.66/PLTV/88888888/224/3221225590/index.m3u8
CCTV6BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV7BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV7BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV7BD,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225630/index.m3u8?
CCTV9BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225633/index.m3u8?
CCTV9BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225663/index.m3u8?
CCTV9BD,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV10BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225624/index.m3u8?
CCTV10BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225704/index.m3u8?
CCTV10BD,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV11BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV11BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225750/index.m3u8?
CCTV12BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV12BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225670/index.m3u8?
CCTV13BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225677/index.m3u8?
CCTV13BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225713/index.m3u8?
CCTV13BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225742/index.m3u8?
CCTV14BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225673/index.m3u8?
CCTV14BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225648/index.m3u8?
CCTV14BD,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV15BD,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV15BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV15BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225830/index.m3u8?
CCTV17BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225513/index.m3u8?
CCTV17BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225833/index.m3u8?
CCTV17BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225766/index.m3u8?
CCTV17BD,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
卫视蓝光,#genre#
湖南卫视BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225692/index.m3u8?
湖南卫视BD,http://111.12.102.68:6610/PLTV/77777777/224/3221225719/index.m3u8?
湖南卫视BD,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8
浙江卫视BD,http://223.110.243.173/PLTV/3/224/3221227215/index.m3u8
